,description,subtasks
126,"<Architect> Facing north, build a 3 by 3 vertical purple square, from left to right, in the middle of the grid, one block higher than the ground.","[1, 5, 5], [1, 3, 3], 'skyeast', 'purple'"
127,"<Architect> Facing north, build a 3 by 3 vertical purple square, from left to right, in the middle of the grid, one block higher than the ground.
<Architect> Place a red block in front of the central purple block","[1, 5, 5], [1, 3, 3], 'skyeast', 'purple' && [2, 5, 6], [1, 1, 1], 'skyeast', 'red'"
128,"<Architect> Place one red block in the middle, one level up than the ground.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red'"
129,"<Architect> Place one red block in the middle, one level up than the ground.
<Architect> Behind the red block, build a 3x3 square of purple blocks centered around the red block. The purple block should be one level higher than the ground.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 4], [1, 3, 3], 'skyeast', 'purple'"
130,"<Architect> Place one red block in the middle, one level up than the ground.
<Architect> Behind the red block, build a 3x3 square of purple blocks centered around the red block. The purple block should be one level higher than the ground.
<Architect> Place a blue block on top of the leftmost top purple block;
Do the same on the rightmost one.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 4], [1, 3, 3], 'skyeast', 'purple' && [4, 4, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 6, 4], [1, 1, 1], 'skyeast', 'blue'"
131,"<Architect> Place one red block in the middle, one level up than the ground.
<Architect> Behind the red block, build a 3x3 square of purple blocks centered around the red block. The purple block should be one level higher than the ground.
<Architect> Place a blue block on top of the leftmost top purple block;
Do the same on the rightmost one.
<Architect> If there are cyan/light blue blocks available, replace the existing blue blocks with them;
Then to the left of the leftmost top purple block, place a cyan/light blue block;
Do the same as the previous step on the other side.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 4], [1, 3, 3], 'skyeast', 'purple' && [4, 4, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 6, 4], [1, 1, 1], 'skyeast', 'blue' && [3, 3, 4], [1, 1, 1], 'skyeast', 'blue' && [3, 7, 4], [1, 1, 1], 'skyeast', 'blue'"
132,"<Architect> Place one red block in the middle, one level up than the ground.
<Architect> Behind the red block, build a 3x3 square of purple blocks centered around the red block. The purple block should be one level higher than the ground.
<Architect> Place a blue block on top of the leftmost top purple block;
Do the same on the rightmost one.
<Architect> If there are cyan/light blue blocks available, replace the existing blue blocks with them;
Then to the left of the leftmost top purple block, place a cyan/light blue block;
Do the same as the previous step on the other side.
<Architect> Place a blue block on top of the rightmost and leftmost and rightmost blue blocks.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 4], [1, 3, 3], 'skyeast', 'purple' && [4, 4, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 6, 4], [1, 1, 1], 'skyeast', 'blue' && [3, 3, 4], [1, 1, 1], 'skyeast', 'blue' && [3, 7, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 3, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 7, 4], [1, 1, 1], 'skyeast', 'blue'"
133,"<Architect> One level from the grid, build a 3 by 3 purple square from left to right in the middle of the grid.","[1, 5, 5], [1, 3, 3], 'skyeast', 'purple'"
134,"<Architect> One level from the grid, build a 3 by 3 purple square from left to right in the middle of the grid.
<Architect> Place a red block in front of the middle purple block of the bottom row.","[1, 5, 5], [1, 3, 3], 'skyeast', 'purple' && [1, 5, 7], [1, 1, 1], 'skyeast', 'red'"
135,"<Architect> In the middle of the grid, place a red block one block higher.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red'"
136,"<Architect> In the middle of the grid, place a red block one block higher.
<Architect> 4 Facing north, build a 3 by 3 purple square behind the red block, one block higher than the grid.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 5], [1, 3, 3], 'skyeast', 'purple'"
137,"<Architect> In the middle of the grid, place a red block one block higher.
<Architect> 4 Facing north, build a 3 by 3 purple square behind the red block, one block higher than the grid.
<Architect> Place a blue block on top of both the left and right top purple blocks.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 5], [1, 3, 3], 'skyeast', 'purple' && [4, 4, 5], [1, 1, 1], 'skyeast', 'blue' && [4, 6, 5], [1, 1, 1], 'skyeast', 'blue'"
138,"<Architect> In the middle of the grid, place a red block one block higher.
<Architect> 4 Facing north, build a 3 by 3 purple square behind the red block, one block higher than the grid.
<Architect> Place a blue block on top of both the left and right top purple blocks.
<Architect> Facing north, place a blue block to the left of the leftmost blue block and another one to the right of the rightmost blue block","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 5], [1, 3, 3], 'skyeast', 'purple' && [4, 4, 5], [1, 1, 1], 'skyeast', 'blue' && [4, 6, 5], [1, 1, 1], 'skyeast', 'blue' && [4, 3, 5], [1, 1, 1], 'skyeast', 'blue' && [4, 7, 5], [1, 1, 1], 'skyeast', 'blue'"
139,"<Architect> In the middle of the grid, place a red block one level higher than the grid.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red'"
140,"<Architect> In the middle of the grid, place a red block one level higher than the grid.
<Architect> Facing north, build a 3 by 3 vertical purple square centered behind the red block, one level higher from the grid.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 4], [1, 3, 3], 'skyeast', 'purple'"
141,"<Architect> In the middle of the grid, place a red block one level higher than the grid.
<Architect> Facing north, build a 3 by 3 vertical purple square centered behind the red block, one level higher from the grid.
<Architect> Place a blue block on top of both the rightmost and leftmost top purple blocks.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 4], [1, 3, 3], 'skyeast', 'purple' && [4, 4, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 6, 4], [1, 1, 1], 'skyeast', 'blue'"
142,"<Architect> In the middle of the grid, place a red block one level higher than the grid.
<Architect> Facing north, build a 3 by 3 vertical purple square centered behind the red block, one level higher from the grid.
<Architect> Place a blue block on top of both the rightmost and leftmost top purple blocks.
<Architect> Place a blue block to the right of the rightmost blue block and another one to the left of the leftmost blue block.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 4], [1, 3, 3], 'skyeast', 'purple' && [4, 4, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 6, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 3, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 7, 4], [1, 1, 1], 'skyeast', 'blue'"
143,"<Architect> In the middle of the grid, place a red block one level higher than the grid.
<Architect> Facing north, build a 3 by 3 vertical purple square centered behind the red block, one level higher from the grid.
<Architect> Place a blue block on top of both the rightmost and leftmost top purple blocks.
<Architect> Place a blue block to the right of the rightmost blue block and another one to the left of the leftmost blue block.
<Architect> 4 Place a below block the leftmost and rightmost blue blocks.
<Builder> Which color blocks should I place?
<Architect> Blue as well.","[1, 5, 5], [1, 1, 1], 'skyeast', 'red' && [1, 4, 4], [1, 3, 3], 'skyeast', 'purple' && [4, 4, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 6, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 3, 4], [1, 1, 1], 'skyeast', 'blue' && [4, 7, 4], [1, 1, 1], 'skyeast', 'blue' && [3, 3, 4], [1, 1, 1], 'skyeast', 'blue' && [3, 7, 4], [1, 1, 1], 'skyeast', 'blue'"
144,"<Architect> place 1 blue block, skip a space, then another blue block from west to east","[0, 5, 5], [1, 1, 1], 'skyeast', 'blue' && [0, 7, 5], [1, 1, 1], 'skyeast', 'blue'"
145,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.","[0, 5, 5], [1, 1, 1], 'skyeast', 'blue'"
146,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.
<Architect> Facing north, build 2 blue blocks vertically on top of the existing blue block. Still facing north, build a blue block directly to the left of the middle blue block. Build another blue block directly to the right of the middle blue block. Finally, break the middle blue block. You should have made a cross with a hole in the middle.","[0, 5, 5], [1, 1, 1], 'skyeast', 'blue' && [1, 3, 7], [1, 1, 1], 'skyeast', 'blue' && [1, 5, 7], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 7], [1, 1, 1], 'skyeast', 'blue'"
147,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.
<Architect> Facing north, build 2 blue blocks vertically on top of the existing blue block. Still facing north, build a blue block directly to the left of the middle blue block. Build another blue block directly to the right of the middle blue block. Finally, break the middle blue block. You should have made a cross with a hole in the middle.
<Architect> Build a green block at the diagonally right side of the bottom blue block.
<Builder> Facing which direction?
<Architect> Facing south,Build a green block at the diagonally right side of the bottom blue block.","[0, 5, 5], [1, 1, 1], 'skyeast', 'blue' && [1, 3, 7], [1, 1, 1], 'skyeast', 'blue' && [1, 5, 7], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 7], [1, 1, 1], 'skyeast', 'blue' && [0, 3, 6], [1, 1, 1], 'skyeast', 'green' && [0, 5, 6], [1, 1, 1], 'skyeast', 'green'"
148,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.
<Architect> Facing north, build 2 blue blocks vertically on top of the existing blue block. Still facing north, build a blue block directly to the left of the middle blue block. Build another blue block directly to the right of the middle blue block. Finally, break the middle blue block. You should have made a cross with a hole in the middle.
<Architect> Build a green block at the diagonally right side of the bottom blue block.
<Builder> Facing which direction?
<Architect> Facing south,Build a green block at the diagonally right side of the bottom blue block.
<Architect> Facing South, destroy the left most green block. Build 2 green blocks vertically on top of the existing green block (the one you didn't destroy), so that you have a tower of 3 green blocks. Build a green block immediately to the left of the middle green block, and another one immediately to the right of it. Finally, destroy the middle green block. Your green structure should look like the blue structure behind it.","[0, 5, 5], [1, 1, 1], 'skyeast', 'blue' && [1, 3, 7], [1, 1, 1], 'skyeast', 'blue' && [1, 5, 7], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 7], [1, 1, 1], 'skyeast', 'blue' && [0, 3, 6], [1, 1, 1], 'skyeast', 'green' && [0, 5, 6], [1, 1, 1], 'skyeast', 'green' && [1, 2, 6], [1, 1, 1], 'skyeast', 'green' && [1, 4, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green'"
149,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.
<Architect> Facing north, build 2 blue blocks vertically on top of the existing blue block. Still facing north, build a blue block directly to the left of the middle blue block. Build another blue block directly to the right of the middle blue block. Finally, break the middle blue block. You should have made a cross with a hole in the middle.
<Architect> Build a green block at the diagonally right side of the bottom blue block.
<Builder> Facing which direction?
<Architect> Facing south,Build a green block at the diagonally right side of the bottom blue block.
<Architect> Facing South, destroy the left most green block. Build 2 green blocks vertically on top of the existing green block (the one you didn't destroy), so that you have a tower of 3 green blocks. Build a green block immediately to the left of the middle green block, and another one immediately to the right of it. Finally, destroy the middle green block. Your green structure should look like the blue structure behind it.
<Architect> Facing South, build a purple block on the 6th column counting from the left and the 6th row counting from the bottom. Using this starting purple block as the bottom piece, build a purple structure that looks like the other green and blue structures.","[0, 5, 5], [1, 1, 1], 'skyeast', 'blue' && [1, 3, 7], [1, 1, 1], 'skyeast', 'blue' && [1, 5, 7], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 7], [1, 1, 1], 'skyeast', 'blue' && [0, 3, 6], [1, 1, 1], 'skyeast', 'green' && [0, 5, 6], [1, 1, 1], 'skyeast', 'green' && [1, 2, 6], [1, 1, 1], 'skyeast', 'green' && [1, 4, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green' && [0, 5, 5], [1, 1, 1], 'skyeast', 'purple' && [1, 4, 5], [1, 1, 1], 'skyeast', 'purple' && [1, 6, 5], [1, 1, 1], 'skyeast', 'purple' && [2, 5, 5], [1, 1, 1], 'skyeast', 'purple'"
150,"<Architect> Facing south, place a single purple block on the center.","[0, 5, 5], [1, 1, 1], 'skyeast', 'purple'"
151,"<Architect> Facing South, From the bottom left side area - Move into 6th column and 5th row position. Build a purple block.","[0, 5, 5], [1, 1, 1], 'skyeast', 'purple'"
152,"<Architect> Facing South, From the bottom left side area - Move into 6th column and 5th row position. Build a purple block.
<Architect> Stack 3 blue blocks in the middle of the grid, then break the middle one.","[0, 5, 5], [1, 1, 1], 'skyeast', 'purple' && [0, 5, 5], [1, 1, 1], 'skyeast', 'blue' && [2, 5, 5], [1, 1, 1], 'skyeast', 'blue'"
153,<Architect> place 3 red blocks next to each other,"[0, 5, 5], [1, 1, 3], 'eastsky', 'red'"
154,"<Architect> Facing east, back up two spaces, then build a tower of four blue blocks.","[0, 5, 5], [1, 1, 4], 'skyeast', 'blue'"
155,<Architect> Stack 5 green blocks atop each other,"[0, 5, 5], [1, 1, 5], 'skyeast', 'green'"
156,"<Architect> Facing south, walk backwards and to your right a little bit, then place a tower of eight blue blocks.","[0, 5, 5], [1, 1, 8], 'skyeast', 'blue'"
157,"<Architect> Facing south, walk backwards and to your right a little bit, then place a tower of eight blue blocks.
<Architect> Facing north, go to the top of the blue tower, then place two blue blocks to the right of the top block.","[0, 5, 5], [1, 1, 8], 'skyeast', 'blue' && [7, 4, 3], [1, 1, 2], 'eastsky', 'blue'"
158,<Architect> Step forward and place 6 green blocks in a tall stack.,"[0, 5, 5], [1, 1, 6], 'skyeast', 'green'"
159,<Architect> Build two columns of two red blocks each to make together a square.,"[0, 5, 5], [1, 2, 2], 'skyeast', 'red'"
160,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green'"
161,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block
<Architect> Remove the green block block and place a green block a the right of the remove one","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green'"
162,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block
<Architect> Remove the green block block and place a green block a the right of the remove one
<Architect> Place a green block on top of the existing one;
Place another green block to the left of that one;
Break the first block you placed.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green' && [3, 2, 6], [1, 1, 1], 'skyeast', 'green'"
163,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block
<Architect> Remove the green block block and place a green block a the right of the remove one
<Architect> Place a green block on top of the existing one;
Place another green block to the left of that one;
Break the first block you placed.
<Architect> Place two green blocks on top of the topmost green block.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green' && [3, 2, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 2], 'skyeast', 'green'"
164,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block
<Architect> Remove the green block block and place a green block a the right of the remove one
<Architect> Place a green block on top of the existing one;
Place another green block to the left of that one;
Break the first block you placed.
<Architect> Place two green blocks on top of the topmost green block.
<Architect> Remove green tower. Shift the others block (reds and one remaining green) to one block higher","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green' && [3, 2, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 2], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 6], [1, 1, 1], 'skyeast', 'red' && [3, 3, 6], [1, 1, 1], 'skyeast', 'green'"
165,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block
<Architect> Remove the green block block and place a green block a the right of the remove one
<Architect> Place a green block on top of the existing one;
Place another green block to the left of that one;
Break the first block you placed.
<Architect> Place two green blocks on top of the topmost green block.
<Architect> Remove green tower. Shift the others block (reds and one remaining green) to one block higher
<Architect> Move all blocks 1 step higher. It doesn't touch the ground
<Builder> The blocks are not touching the ground already.
<Architect> OK, on the architect point of view, it does touch the ground. So next step is one green block up to the green block","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green' && [3, 2, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 2], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 6], [1, 1, 1], 'skyeast', 'red' && [3, 3, 6], [1, 1, 1], 'skyeast', 'green' && [4, 3, 6], [1, 1, 1], 'skyeast', 'green'"
166,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block
<Architect> Remove the green block block and place a green block a the right of the remove one
<Architect> Place a green block on top of the existing one;
Place another green block to the left of that one;
Break the first block you placed.
<Architect> Place two green blocks on top of the topmost green block.
<Architect> Remove green tower. Shift the others block (reds and one remaining green) to one block higher
<Architect> Move all blocks 1 step higher. It doesn't touch the ground
<Builder> The blocks are not touching the ground already.
<Architect> OK, on the architect point of view, it does touch the ground. So next step is one green block up to the green block
<Architect> Place a green block to the left of the topmost green block;
Break the block to the right of the block you just placed.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green' && [3, 2, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 2], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 6], [1, 1, 1], 'skyeast', 'red' && [3, 3, 6], [1, 1, 1], 'skyeast', 'green' && [4, 3, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 1], 'skyeast', 'green'"
167,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block
<Architect> Remove the green block block and place a green block a the right of the remove one
<Architect> Place a green block on top of the existing one;
Place another green block to the left of that one;
Break the first block you placed.
<Architect> Place two green blocks on top of the topmost green block.
<Architect> Remove green tower. Shift the others block (reds and one remaining green) to one block higher
<Architect> Move all blocks 1 step higher. It doesn't touch the ground
<Builder> The blocks are not touching the ground already.
<Architect> OK, on the architect point of view, it does touch the ground. So next step is one green block up to the green block
<Architect> Place a green block to the left of the topmost green block;
Break the block to the right of the block you just placed.
<Architect> Place two more green blocks on top of the topmost one.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green' && [3, 2, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 2], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 6], [1, 1, 1], 'skyeast', 'red' && [3, 3, 6], [1, 1, 1], 'skyeast', 'green' && [4, 3, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 1], 'skyeast', 'green' && [5, 2, 6], [1, 1, 2], 'skyeast', 'green'"
168,"<Architect> Build two columns of two red blocks each to make together a square.
<Architect> Facing North, add a green block on the top left of red block
<Architect> Remove the green block block and place a green block a the right of the remove one
<Architect> Place a green block on top of the existing one;
Place another green block to the left of that one;
Break the first block you placed.
<Architect> Place two green blocks on top of the topmost green block.
<Architect> Remove green tower. Shift the others block (reds and one remaining green) to one block higher
<Architect> Move all blocks 1 step higher. It doesn't touch the ground
<Builder> The blocks are not touching the ground already.
<Architect> OK, on the architect point of view, it does touch the ground. So next step is one green block up to the green block
<Architect> Place a green block to the left of the topmost green block;
Break the block to the right of the block you just placed.
<Architect> Place two more green blocks on top of the topmost one.
<Architect> Place two green blocks to the left of the topmost green block;
Place two green blocks under the last block you placed;
Break the leftmost green block on the top row.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 1], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'green' && [3, 2, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 2], 'skyeast', 'green' && [2, 3, 6], [1, 1, 1], 'skyeast', 'blue' && [2, 4, 6], [1, 1, 1], 'skyeast', 'red' && [3, 3, 6], [1, 1, 1], 'skyeast', 'green' && [4, 3, 6], [1, 1, 1], 'skyeast', 'green' && [4, 2, 6], [1, 1, 1], 'skyeast', 'green' && [5, 2, 6], [1, 1, 2], 'skyeast', 'green' && [4, 0, 6], [1, 1, 2], 'skyeast', 'green' && [6, 1, 6], [1, 1, 1], 'skyeast', 'green'"
169,"<Architect> Facing north, build a 2 by 2 vertical red square from left to right in the middle of the grid.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red'"
170,"<Architect> Facing north, build a 2 by 2 vertical red square from left to right in the middle of the grid.
<Architect> Facing north, skip one square to the left of the red square and build another 2 by 2 red square from right to left, one level higher than the grid, so that there's a 1 block gap between the 2 squares.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [0, 2, 6], [1, 2, 2], 'skyeast', 'red'"
171,"<Architect> Facing north, build a 2 by 2 vertical red square from left to right in the middle of the grid.
<Architect> Facing north, skip one square to the left of the red square and build another 2 by 2 red square from right to left, one level higher than the grid, so that there's a 1 block gap between the 2 squares.
<Architect> Facing north, place one more row of red blocks on top of the left red square, break its bottom row.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [0, 2, 6], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 2], 'eastsky', 'red'"
172,"<Architect> Facing north, build a 2 by 2 vertical red square from left to right in the middle of the grid.
<Architect> Facing north, skip one square to the left of the red square and build another 2 by 2 red square from right to left, one level higher than the grid, so that there's a 1 block gap between the 2 squares.
<Architect> Facing north, place one more row of red blocks on top of the left red square, break its bottom row.
<Architect> Facing North, Move to left side red block, Build 2 blocks on top as previous and Destroy the bottom side 2 red blocks.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [0, 2, 6], [1, 2, 2], 'skyeast', 'red' && [2, 2, 6], [1, 1, 2], 'eastsky', 'red' && [3, 2, 6], [1, 1, 2], 'eastsky', 'red'"
173,"<Architect> Facing north, build a 2 by 2 vertical red square, from left to right, in the middle of the grid.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red'"
174,"<Architect> Facing north, build a 2 by 2 vertical red square, from left to right, in the middle of the grid.
<Architect> Facing north, place a green block on top of the left red block of the top row.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 5, 4], [1, 1, 1], 'skyeast', 'green'"
175,"<Architect> Facing north, build a 2 by 2 vertical red square, from left to right, in the middle of the grid.
<Architect> Facing north, place a green block on top of the left red block of the top row.
<Architect> Facing north, place a green block to the left of the existing one, then stack 3 green blocks on top of that, break the first block you placed.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 5, 4], [1, 1, 1], 'skyeast', 'green' && [3, 4, 4], [1, 1, 3], 'skyeast', 'green'"
176,"<Architect> Facing north, build a 2 by 2 vertical red square, from left to right, in the middle of the grid.
<Architect> Facing north, place a green block on top of the left red block of the top row.
<Architect> Facing north, place a green block to the left of the existing one, then stack 3 green blocks on top of that, break the first block you placed.
<Architect> Facing north, build another red square, 2 blocks to the left of the existing one, one level higher than the ground, so it's not touching the ground and there's a 1 block gap between the red squares.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 5, 4], [1, 1, 1], 'skyeast', 'green' && [3, 4, 4], [1, 1, 3], 'skyeast', 'green' && [1, 2, 4], [1, 2, 2], 'skyeast', 'red'"
177,"<Architect> Facing north, build a 2 by 2 vertical red square, from left to right, in the middle of the grid.
<Architect> Facing north, place a green block on top of the left red block of the top row.
<Architect> Facing north, place a green block to the left of the existing one, then stack 3 green blocks on top of that, break the first block you placed.
<Architect> Facing north, build another red square, 2 blocks to the left of the existing one, one level higher than the ground, so it's not touching the ground and there's a 1 block gap between the red squares.
<Architect> Facing north, place 2 green blocks on top of the leftmost red block.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 5, 4], [1, 1, 1], 'skyeast', 'green' && [3, 4, 4], [1, 1, 3], 'skyeast', 'green' && [1, 2, 4], [1, 2, 2], 'skyeast', 'red' && [3, 2, 4], [1, 1, 2], 'skyeast', 'green'"
178,"<Architect> Facing north, build a 2 by 2 vertical red square, from left to right, in the middle of the grid.
<Architect> Facing north, place a green block on top of the left red block of the top row.
<Architect> Facing north, place a green block to the left of the existing one, then stack 3 green blocks on top of that, break the first block you placed.
<Architect> Facing north, build another red square, 2 blocks to the left of the existing one, one level higher than the ground, so it's not touching the ground and there's a 1 block gap between the red squares.
<Architect> Facing north, place 2 green blocks on top of the leftmost red block.
<Architect> Facing north, place a green block to the left of the topmost green block.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 5, 4], [1, 1, 1], 'skyeast', 'green' && [3, 4, 4], [1, 1, 3], 'skyeast', 'green' && [1, 2, 4], [1, 2, 2], 'skyeast', 'red' && [3, 2, 4], [1, 1, 2], 'skyeast', 'green' && [5, 3, 4], [1, 1, 1], 'skyeast', 'green'"
179,"<Architect> Facing north, build a 2 by 2 vertical red square, from left to right, in the middle of the grid.
<Architect> Facing north, place a green block on top of the left red block of the top row.
<Architect> Facing north, place a green block to the left of the existing one, then stack 3 green blocks on top of that, break the first block you placed.
<Architect> Facing north, build another red square, 2 blocks to the left of the existing one, one level higher than the ground, so it's not touching the ground and there's a 1 block gap between the red squares.
<Architect> Facing north, place 2 green blocks on top of the leftmost red block.
<Architect> Facing north, place a green block to the left of the topmost green block.
<Architect> Facing north, place a green block to the right of the rightmost green block of the top row, then place a green block on top of that, finally, break the first block you placed.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 5, 4], [1, 1, 1], 'skyeast', 'green' && [3, 4, 4], [1, 1, 3], 'skyeast', 'green' && [1, 2, 4], [1, 2, 2], 'skyeast', 'red' && [3, 2, 4], [1, 1, 2], 'skyeast', 'green' && [5, 3, 4], [1, 1, 1], 'skyeast', 'green' && [6, 5, 4], [1, 1, 1], 'skyeast', 'green'"
180,"<Architect> Facing north, place a 2 by 2 vertical red square from left to right in the middle of the grid.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red'"
181,"<Architect> Facing north, place a 2 by 2 vertical red square from left to right in the middle of the grid.
<Architect> Facing north, place a green block on top of the top left red block, then place a green block to the left of that, then stack 3 green blocks on top of that, finally, break the second block you placed.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 5, 5], [1, 1, 1], 'skyeast', 'green' && [3, 4, 5], [1, 1, 3], 'skyeast', 'green'"
182,"<Architect> Facing north, place a 2 by 2 vertical red square from left to right in the middle of the grid.
<Architect> Facing north, place a green block on top of the top left red block, then place a green block to the left of that, then stack 3 green blocks on top of that, finally, break the second block you placed.
<Architect> Facing north, skip one two blocks to the left of the red square and build another identical square but 1 block higher than the ground, so that there's a 1 block gap between the two squares.","[0, 5, 5], [1, 2, 2], 'skyeast', 'red' && [2, 5, 5], [1, 1, 1], 'skyeast', 'green' && [3, 4, 5], [1, 1, 3], 'skyeast', 'green' && [1, 2, 5], [1, 2, 2], 'skyeast', 'red'"
