,Unnamed: 0,Unnamed: 0.1,description,subtasks,rebuilded
116,116,116,"<Architect> Facing north, put 3 purple blocks side by side
<Architect> Put 3 purple blocks in a row
<Architect> put a red block in front of the middle purple block
<Architect> place two purple blocks atop each purple block
<Architect> place blue block atop highest western purple block
<Architect> Place a blue block on the top westmost purple block.
<Architect> Destroy the topmost blue block on the eastern side of the structure.
<Architect> put a red block on top of the red block
<Architect> remove the bottom red block","0, 5, 5, 5 && 0, 6, 5, 5 && 0, 7, 5, 5 && 1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 7, 5, 1","[(0, 5, 5, 5), (0, 6, 5, 5), (0, 7, 5, 5), (1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 7, 5, 1)]"
117,117,117,"<Architect> Facing north, put 3 purple blocks side by side
<Architect> Put 3 purple blocks in a row
<Architect> put a red block in front of the middle purple block
<Architect> place two purple blocks atop each purple block
<Architect> place blue block atop highest western purple block
<Architect> Place a blue block on the top westmost purple block.
<Architect> Destroy the topmost blue block on the eastern side of the structure.
<Architect> put a red block on top of the red block
<Architect> remove the bottom red block
<Architect> Remove the bottom purple blocks. All three of them","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 7, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 7, 5, 1)]"
118,118,118,"<Architect> Facing north, put 3 purple blocks side by side
<Architect> Put 3 purple blocks in a row
<Architect> put a red block in front of the middle purple block
<Architect> place two purple blocks atop each purple block
<Architect> place blue block atop highest western purple block
<Architect> Place a blue block on the top westmost purple block.
<Architect> Destroy the topmost blue block on the eastern side of the structure.
<Architect> put a red block on top of the red block
<Architect> remove the bottom red block
<Architect> Remove the bottom purple blocks. All three of them
<Architect> Place a blue block on top of the west-most purple block. That is, not touching the existing blue block (there's a space between).","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 1 && 3, 7, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 1), (3, 7, 5, 1)]"
119,119,119,"<Architect> Facing north, put 3 purple blocks side by side
<Architect> Put 3 purple blocks in a row
<Architect> put a red block in front of the middle purple block
<Architect> place two purple blocks atop each purple block
<Architect> place blue block atop highest western purple block
<Architect> Place a blue block on the top westmost purple block.
<Architect> Destroy the topmost blue block on the eastern side of the structure.
<Architect> put a red block on top of the red block
<Architect> remove the bottom red block
<Architect> Remove the bottom purple blocks. All three of them
<Architect> Place a blue block on top of the west-most purple block. That is, not touching the existing blue block (there's a space between).
<Architect> remove the blue blocks on each side","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5)]"
120,120,120,"<Architect> Facing north, put 3 purple blocks side by side
<Architect> Put 3 purple blocks in a row
<Architect> put a red block in front of the middle purple block
<Architect> place two purple blocks atop each purple block
<Architect> place blue block atop highest western purple block
<Architect> Place a blue block on the top westmost purple block.
<Architect> Destroy the topmost blue block on the eastern side of the structure.
<Architect> put a red block on top of the red block
<Architect> remove the bottom red block
<Architect> Remove the bottom purple blocks. All three of them
<Architect> Place a blue block on top of the west-most purple block. That is, not touching the existing blue block (there's a space between).
<Architect> remove the blue blocks on each side
<Architect> Place a row of three blue blocks on top of the existing structure. Then, destroy the middle one.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 1 && 3, 7, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 1), (3, 7, 5, 1)]"
121,121,121,"<Architect> Place a red block in the middle of the grid, one block higher than the ground.","1, 5, 5, 3","[(1, 5, 5, 3)]"
122,122,122,"<Architect> Place a red block in the middle of the grid, one block higher than the ground.
<Architect> Facing north, build a 3 by 3 vertical purple square from left to right, immediately behind the red block, one block above the ground, the center column of the square should be aligned with the red block.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5)]"
123,123,123,"<Architect> Place a red block in the middle of the grid, one block higher than the ground.
<Architect> Facing north, build a 3 by 3 vertical purple square from left to right, immediately behind the red block, one block above the ground, the center column of the square should be aligned with the red block.
<Architect> Place a blue block on top of the leftmost and rightmost purple block of the top row.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 4, 5, 5, 1 && 4, 7, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (4, 5, 5, 1), (4, 7, 5, 1)]"
124,124,124,"<Architect> Place a red block in the middle of the grid, one block higher than the ground.
<Architect> Facing north, build a 3 by 3 vertical purple square from left to right, immediately behind the red block, one block above the ground, the center column of the square should be aligned with the red block.
<Architect> Place a blue block on top of the leftmost and rightmost purple block of the top row.
<Architect> Facing north, place a blue block to the left of the leftmost blue block and another one to the right of the rightmost blue block.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 4, 4, 5, 1 && 4, 5, 5, 1 && 4, 7, 5, 1 && 4, 8, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (4, 4, 5, 1), (4, 5, 5, 1), (4, 7, 5, 1), (4, 8, 5, 1)]"
125,125,125,"<Architect> Place a red block in the middle of the grid, one block higher than the ground.
<Architect> Facing north, build a 3 by 3 vertical purple square from left to right, immediately behind the red block, one block above the ground, the center column of the square should be aligned with the red block.
<Architect> Place a blue block on top of the leftmost and rightmost purple block of the top row.
<Architect> Facing north, place a blue block to the left of the leftmost blue block and another one to the right of the rightmost blue block.
<Architect> Facing north, place a blue block under both the leftmost and rightmost blue blocks.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 4, 5, 1 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 3, 8, 5, 1 && 4, 4, 5, 1 && 4, 5, 5, 1 && 4, 7, 5, 1 && 4, 8, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 4, 5, 1), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (3, 8, 5, 1), (4, 4, 5, 1), (4, 5, 5, 1), (4, 7, 5, 1), (4, 8, 5, 1)]"
126,126,126,"<Architect> Facing north, build a 3 by 3 vertical purple square, from left to right, in the middle of the grid, one block higher than the ground.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5)]"
127,127,127,"<Architect> Facing north, build a 3 by 3 vertical purple square, from left to right, in the middle of the grid, one block higher than the ground.
<Architect> Place a red block in front of the central purple block","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 6, 6, 3 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 6, 6, 3), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5)]"
128,128,128,"<Architect> Place one red block in the middle, one level up than the ground.","1, 5, 5, 3","[(1, 5, 5, 3)]"
129,129,129,"<Architect> Place one red block in the middle, one level up than the ground.
<Architect> Behind the red block, build a 3x3 square of purple blocks centered around the red block. The purple block should be one level higher than the ground.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5)]"
130,130,130,"<Architect> Place one red block in the middle, one level up than the ground.
<Architect> Behind the red block, build a 3x3 square of purple blocks centered around the red block. The purple block should be one level higher than the ground.
<Architect> Place a blue block on top of the leftmost top purple block;
Do the same on the rightmost one.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 4, 5, 5, 1 && 4, 7, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (4, 5, 5, 1), (4, 7, 5, 1)]"
131,131,131,"<Architect> Place one red block in the middle, one level up than the ground.
<Architect> Behind the red block, build a 3x3 square of purple blocks centered around the red block. The purple block should be one level higher than the ground.
<Architect> Place a blue block on top of the leftmost top purple block;
Do the same on the rightmost one.
<Architect> If there are cyan/light blue blocks available, replace the existing blue blocks with them;
Then to the left of the leftmost top purple block, place a cyan/light blue block;
Do the same as the previous step on the other side.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 4, 5, 1 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 3, 8, 5, 1 && 4, 5, 5, 1 && 4, 7, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 4, 5, 1), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (3, 8, 5, 1), (4, 5, 5, 1), (4, 7, 5, 1)]"
132,132,132,"<Architect> Place one red block in the middle, one level up than the ground.
<Architect> Behind the red block, build a 3x3 square of purple blocks centered around the red block. The purple block should be one level higher than the ground.
<Architect> Place a blue block on top of the leftmost top purple block;
Do the same on the rightmost one.
<Architect> If there are cyan/light blue blocks available, replace the existing blue blocks with them;
Then to the left of the leftmost top purple block, place a cyan/light blue block;
Do the same as the previous step on the other side.
<Architect> Place a blue block on top of the rightmost and leftmost and rightmost blue blocks.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 4, 5, 1 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 3, 8, 5, 1 && 4, 4, 5, 1 && 4, 5, 5, 1 && 4, 7, 5, 1 && 4, 8, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 4, 5, 1), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (3, 8, 5, 1), (4, 4, 5, 1), (4, 5, 5, 1), (4, 7, 5, 1), (4, 8, 5, 1)]"
133,133,133,"<Architect> One level from the grid, build a 3 by 3 purple square from left to right in the middle of the grid.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5)]"
134,134,134,"<Architect> One level from the grid, build a 3 by 3 purple square from left to right in the middle of the grid.
<Architect> Place a red block in front of the middle purple block of the bottom row.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5)]"
135,135,135,"<Architect> In the middle of the grid, place a red block one block higher.","1, 5, 5, 3","[(1, 5, 5, 3)]"
136,136,136,"<Architect> In the middle of the grid, place a red block one block higher.
<Architect> 4 Facing north, build a 3 by 3 purple square behind the red block, one block higher than the grid.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5)]"
137,137,137,"<Architect> In the middle of the grid, place a red block one block higher.
<Architect> 4 Facing north, build a 3 by 3 purple square behind the red block, one block higher than the grid.
<Architect> Place a blue block on top of both the left and right top purple blocks.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 4, 5, 5, 1 && 4, 7, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (4, 5, 5, 1), (4, 7, 5, 1)]"
138,138,138,"<Architect> In the middle of the grid, place a red block one block higher.
<Architect> 4 Facing north, build a 3 by 3 purple square behind the red block, one block higher than the grid.
<Architect> Place a blue block on top of both the left and right top purple blocks.
<Architect> Facing north, place a blue block to the left of the leftmost blue block and another one to the right of the rightmost blue block","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 4, 4, 5, 1 && 4, 5, 5, 1 && 4, 7, 5, 1 && 4, 8, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (4, 4, 5, 1), (4, 5, 5, 1), (4, 7, 5, 1), (4, 8, 5, 1)]"
139,139,139,"<Architect> In the middle of the grid, place a red block one level higher than the grid.","1, 5, 5, 3","[(1, 5, 5, 3)]"
140,140,140,"<Architect> In the middle of the grid, place a red block one level higher than the grid.
<Architect> Facing north, build a 3 by 3 vertical purple square centered behind the red block, one level higher from the grid.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5)]"
141,141,141,"<Architect> In the middle of the grid, place a red block one level higher than the grid.
<Architect> Facing north, build a 3 by 3 vertical purple square centered behind the red block, one level higher from the grid.
<Architect> Place a blue block on top of both the rightmost and leftmost top purple blocks.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 4, 5, 5, 1 && 4, 7, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (4, 5, 5, 1), (4, 7, 5, 1)]"
142,142,142,"<Architect> In the middle of the grid, place a red block one level higher than the grid.
<Architect> Facing north, build a 3 by 3 vertical purple square centered behind the red block, one level higher from the grid.
<Architect> Place a blue block on top of both the rightmost and leftmost top purple blocks.
<Architect> Place a blue block to the right of the rightmost blue block and another one to the left of the leftmost blue block.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 4, 4, 5, 1 && 4, 5, 5, 1 && 4, 7, 5, 1 && 4, 8, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (4, 4, 5, 1), (4, 5, 5, 1), (4, 7, 5, 1), (4, 8, 5, 1)]"
143,143,143,"<Architect> In the middle of the grid, place a red block one level higher than the grid.
<Architect> Facing north, build a 3 by 3 vertical purple square centered behind the red block, one level higher from the grid.
<Architect> Place a blue block on top of both the rightmost and leftmost top purple blocks.
<Architect> Place a blue block to the right of the rightmost blue block and another one to the left of the leftmost blue block.
<Architect> 4 Place a below block the leftmost and rightmost blue blocks.
<Builder> Which color blocks should I place?
<Architect> Blue as well.","1, 5, 5, 5 && 1, 6, 5, 5 && 1, 6, 6, 3 && 1, 7, 5, 5 && 2, 5, 5, 5 && 2, 6, 5, 5 && 2, 7, 5, 5 && 3, 4, 5, 1 && 3, 5, 5, 5 && 3, 6, 5, 5 && 3, 7, 5, 5 && 3, 8, 5, 1 && 4, 4, 5, 1 && 4, 5, 5, 1 && 4, 7, 5, 1 && 4, 8, 5, 1","[(1, 5, 5, 5), (1, 6, 5, 5), (1, 6, 6, 3), (1, 7, 5, 5), (2, 5, 5, 5), (2, 6, 5, 5), (2, 7, 5, 5), (3, 4, 5, 1), (3, 5, 5, 5), (3, 6, 5, 5), (3, 7, 5, 5), (3, 8, 5, 1), (4, 4, 5, 1), (4, 5, 5, 1), (4, 7, 5, 1), (4, 8, 5, 1)]"
144,144,144,"<Architect> place 1 blue block, skip a space, then another blue block from west to east","0, 5, 5, 1 && 0, 7, 5, 1","[(0, 5, 5, 1), (0, 7, 5, 1)]"
145,145,145,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.","0, 5, 5, 1","[(0, 5, 5, 1)]"
146,146,146,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.
<Architect> Facing north, build 2 blue blocks vertically on top of the existing blue block. Still facing north, build a blue block directly to the left of the middle blue block. Build another blue block directly to the right of the middle blue block. Finally, break the middle blue block. You should have made a cross with a hole in the middle.","0, 5, 5, 1 && 1, 4, 5, 1 && 1, 6, 5, 1 && 2, 5, 5, 1","[(0, 5, 5, 1), (1, 4, 5, 1), (1, 6, 5, 1), (2, 5, 5, 1)]"
147,147,147,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.
<Architect> Facing north, build 2 blue blocks vertically on top of the existing blue block. Still facing north, build a blue block directly to the left of the middle blue block. Build another blue block directly to the right of the middle blue block. Finally, break the middle blue block. You should have made a cross with a hole in the middle.
<Architect> Build a green block at the diagonally right side of the bottom blue block.
<Builder> Facing which direction?
<Architect> Facing south,Build a green block at the diagonally right side of the bottom blue block.","0, 5, 5, 2 && 0, 6, 6, 1 && 0, 7, 5, 2 && 1, 5, 6, 1 && 1, 7, 6, 1 && 2, 6, 6, 1","[(0, 5, 5, 2), (0, 6, 6, 1), (0, 7, 5, 2), (1, 5, 6, 1), (1, 7, 6, 1), (2, 6, 6, 1)]"
148,148,148,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.
<Architect> Facing north, build 2 blue blocks vertically on top of the existing blue block. Still facing north, build a blue block directly to the left of the middle blue block. Build another blue block directly to the right of the middle blue block. Finally, break the middle blue block. You should have made a cross with a hole in the middle.
<Architect> Build a green block at the diagonally right side of the bottom blue block.
<Builder> Facing which direction?
<Architect> Facing south,Build a green block at the diagonally right side of the bottom blue block.
<Architect> Facing South, destroy the left most green block. Build 2 green blocks vertically on top of the existing green block (the one you didn't destroy), so that you have a tower of 3 green blocks. Build a green block immediately to the left of the middle green block, and another one immediately to the right of it. Finally, destroy the middle green block. Your green structure should look like the blue structure behind it.","0, 5, 5, 2 && 0, 6, 6, 1 && 1, 4, 5, 2 && 1, 5, 6, 1 && 1, 6, 5, 2 && 1, 7, 6, 1 && 2, 5, 5, 2 && 2, 6, 6, 1","[(0, 5, 5, 2), (0, 6, 6, 1), (1, 4, 5, 2), (1, 5, 6, 1), (1, 6, 5, 2), (1, 7, 6, 1), (2, 5, 5, 2), (2, 6, 6, 1)]"
149,149,149,"<Architect> Facing North, From the bottom left side area - Move into 5th column and 4th row position. Build a blue block.
<Architect> Facing north, build 2 blue blocks vertically on top of the existing blue block. Still facing north, build a blue block directly to the left of the middle blue block. Build another blue block directly to the right of the middle blue block. Finally, break the middle blue block. You should have made a cross with a hole in the middle.
<Architect> Build a green block at the diagonally right side of the bottom blue block.
<Builder> Facing which direction?
<Architect> Facing south,Build a green block at the diagonally right side of the bottom blue block.
<Architect> Facing South, destroy the left most green block. Build 2 green blocks vertically on top of the existing green block (the one you didn't destroy), so that you have a tower of 3 green blocks. Build a green block immediately to the left of the middle green block, and another one immediately to the right of it. Finally, destroy the middle green block. Your green structure should look like the blue structure behind it.
<Architect> Facing South, build a purple block on the 6th column counting from the left and the 6th row counting from the bottom. Using this starting purple block as the bottom piece, build a purple structure that looks like the other green and blue structures.","0, 5, 5, 2 && 0, 6, 6, 1 && 0, 7, 4, 5 && 1, 4, 5, 2 && 1, 5, 6, 1 && 1, 6, 4, 5 && 1, 6, 5, 2 && 1, 7, 6, 1 && 1, 8, 4, 5 && 2, 5, 5, 2 && 2, 6, 6, 1 && 2, 7, 4, 5","[(0, 5, 5, 2), (0, 6, 6, 1), (0, 7, 4, 5), (1, 4, 5, 2), (1, 5, 6, 1), (1, 6, 4, 5), (1, 6, 5, 2), (1, 7, 6, 1), (1, 8, 4, 5), (2, 5, 5, 2), (2, 6, 6, 1), (2, 7, 4, 5)]"
150,150,150,"<Architect> Facing south, place a single purple block on the center.","0, 5, 5, 5","[(0, 5, 5, 5)]"
151,151,151,"<Architect> Facing South, From the bottom left side area - Move into 6th column and 5th row position. Build a purple block.","0, 5, 5, 5","[(0, 5, 5, 5)]"
152,152,152,"<Architect> Facing South, From the bottom left side area - Move into 6th column and 5th row position. Build a purple block.
<Architect> Stack 3 blue blocks in the middle of the grid, then break the middle one.","0, 5, 5, 5 && 0, 5, 6, 1 && 2, 5, 6, 1","[(0, 5, 5, 5), (0, 5, 6, 1), (2, 5, 6, 1)]"
153,153,153,<Architect> place 3 red blocks next to each other,"0, 5, 5, 3 && 0, 6, 5, 3 && 0, 7, 5, 3","[(0, 5, 5, 3), (0, 6, 5, 3), (0, 7, 5, 3)]"
154,154,154,"<Architect> Facing east, back up two spaces, then build a tower of four blue blocks.","0, 5, 5, 1 && 1, 5, 5, 1 && 2, 5, 5, 1 && 3, 5, 5, 1","[(0, 5, 5, 1), (1, 5, 5, 1), (2, 5, 5, 1), (3, 5, 5, 1)]"
155,155,155,<Architect> Stack 5 green blocks atop each other,"0, 5, 5, 2 && 1, 5, 5, 2 && 2, 5, 5, 2 && 3, 5, 5, 2 && 4, 5, 5, 2","[(0, 5, 5, 2), (1, 5, 5, 2), (2, 5, 5, 2), (3, 5, 5, 2), (4, 5, 5, 2)]"
156,156,156,"<Architect> Facing south, walk backwards and to your right a little bit, then place a tower of eight blue blocks.","0, 5, 5, 1 && 1, 5, 5, 1 && 2, 5, 5, 1 && 3, 5, 5, 1 && 4, 5, 5, 1 && 5, 5, 5, 1 && 6, 5, 5, 1 && 7, 5, 5, 1","[(0, 5, 5, 1), (1, 5, 5, 1), (2, 5, 5, 1), (3, 5, 5, 1), (4, 5, 5, 1), (5, 5, 5, 1), (6, 5, 5, 1), (7, 5, 5, 1)]"
